# z    HI_i     HI_h     HeI_i    HeI_h    HeII_i   HeII_h 
0.0000 6.06e-14 2.28e-13 3.03e-14 2.49e-13 1.10e-15 2.08e-14
0.0243 6.72e-14 2.54e-13 3.38e-14 2.77e-13 1.21e-15 2.29e-14
0.0491 7.44e-14 2.82e-13 3.77e-14 3.08e-13 1.33e-15 2.51e-14
0.0747 8.23e-14 3.13e-13 4.18e-14 3.40e-13 1.45e-15 2.75e-14
0.1010 9.10e-14 3.46e-13 4.64e-14 3.77e-13 1.60e-15 3.01e-14
0.1277 1.00e-13 3.82e-13 5.14e-14 4.16e-13 1.74e-15 3.30e-14
0.1550 1.10e-13 4.21e-13 5.69e-14 4.60e-13 1.91e-15 3.61e-14
0.1827 1.22e-13 4.64e-13 6.29e-14 5.08e-13 2.08e-15 3.94e-14
0.2110 1.34e-13 5.11e-13 6.96e-14 5.61e-13 2.27e-15 4.30e-14
0.2406 1.47e-13 5.62e-13 7.67e-14 6.17e-13 2.47e-15 4.69e-14
0.2710 1.61e-13 6.18e-13 8.46e-14 6.79e-13 2.70e-15 5.10e-14
0.3016 1.77e-13 6.78e-13 9.30e-14 7.46e-13 2.94e-15 5.55e-14
0.3330 1.95e-13 7.44e-13 1.02e-13 8.19e-13 3.20e-15 6.03e-14
0.3656 2.12e-13 8.13e-13 1.12e-13 8.97e-13 3.48e-15 6.55e-14
0.3990 2.32e-13 8.89e-13 1.23e-13 9.82e-13 3.78e-15 7.10e-14
0.4331 2.53e-13 9.69e-13 1.34e-13 1.07e-12 4.10e-15 7.69e-14
0.4680 2.76e-13 1.06e-12 1.46e-13 1.18e-12 4.45e-15 8.31e-14
0.5036 3.00e-13 1.15e-12 1.60e-13 1.28e-12 4.81e-15 8.97e-14
0.5400 3.25e-13 1.25e-12 1.75e-13 1.39e-12 5.19e-15 9.68e-14
0.5771 3.53e-13 1.35e-12 1.90e-13 1.50e-12 5.59e-15 1.04e-13
0.6150 3.83e-13 1.47e-12 2.06e-13 1.63e-12 6.03e-15 1.12e-13
0.6545 4.13e-13 1.58e-12 2.22e-13 1.76e-12 6.46e-15 1.20e-13
0.6950 4.45e-13 1.71e-12 2.40e-13 1.90e-12 6.93e-15 1.29e-13
0.7360 4.79e-13 1.84e-12 2.58e-13 2.05e-12 7.41e-15 1.37e-13
0.7780 5.16e-13 1.98e-12 2.78e-13 2.20e-12 7.92e-15 1.46e-13
0.8210 5.52e-13 2.12e-12 2.99e-13 2.36e-12 8.42e-15 1.55e-13
0.8650 5.91e-13 2.28e-12 3.21e-13 2.53e-12 8.96e-15 1.65e-13
0.9104 6.31e-13 2.42e-12 3.42e-13 2.69e-12 9.48e-15 1.75e-13
0.9570 6.73e-13 2.58e-12 3.65e-13 2.87e-12 1.00e-14 1.84e-13
